CÃ“DIGO OACI,COMPRIMENTO_MAX,LATITUDE,LONGITUDE
SBAA,5905.511811023622,-8.348611111111111,-49.30305555555555
SBAE,6594.488188976377,-22.157777777777778,-49.068333333333335
SBAQ,5905.511811023622,-21.804444444444446,-48.140277777777776
SBAR,7217.847769028871,-10.985277777777776,-37.07333333333334
SBAT,8202.099737532808,-9.866388888888888,-56.105000000000004
SBAU,6955.380577427821,-21.144166666666667,-50.42638888888889
SBAX,6233.595800524934,-19.560555555555556,-46.96555555555556
SBBE,9186.351706036745,-1.3847222222222222,-48.47888888888889
SBBG,4921.259842519685,-31.390833333333333,-54.109722222222224
SBBH,7755.905511811024,-19.851944444444445,-43.95055555555556
SBBI,4560.367454068241,-25.403333333333332,-49.23361111111111
SBBP,3937.007874015748,-22.979166666666664,-46.5375
SBBR,10826.771653543306,-15.871111111111112,-47.91861111111111
SBBU,4924.540682414698,-22.34361111111111,-49.053888888888885
SBBV,8858.267716535433,2.841388888888889,-60.69222222222222
SBBW,5242.7821522309705,-15.860833333333334,-52.38944444444444
SBCA,5298.556430446194,-25.002222222222223,-53.50194444444445
SBCB,8366.141732283464,-22.92138888888889,-42.07166666666667
SBCD,5331.364829396325,-26.789722222222224,-50.939722222222215
SBCF,9842.51968503937,-19.624444444444446,-43.971944444444446
SBCG,8530.18372703412,-20.46944444444444,-54.67027777777778
SBCH,6768.372703412073,-27.133888888888887,-52.661944444444444
SBCI,5905.511811023622,-7.320555555555555,-47.45861111111111
SBCJ,6561.679790026246,-6.115277777777777,-50.00138888888889
SSIM,4891.7322834645665,-28.724444444444444,-49.421388888888885
SBCN,6889.763779527559,-17.72472222222222,-48.61
SBCP,5065.616797900262,-21.70111111111111,-41.30777777777777
SBCR,4921.259842519685,-19.011944444444445,-57.671388888888885
SBCT,7276.902887139107,-25.531666666666666,-49.17611111111111
SSCV,5019.685039370079,-17.650555555555552,-39.254444444444445
SBCX,5479.002624671915,-29.195555555555554,-51.189722222222215
SBCY,7545.931758530183,-15.65,-56.1175
SSCL,3546.587926509186,-19.146944444444443,-51.67638888888889
SBDB,6561.679790026246,-21.247222222222224,-56.4525
SBDN,6889.763779527559,-22.178333333333335,-51.41888888888889
SBDO,6397.63779527559,-22.200555555555553,-54.925555555555555
SBEG,8858.267716535433,-3.041111111111111,-60.050555555555555
SBEK,5249.343832020997,-6.235277777777778,-57.77583333333333
SBFI,7201.443569553805,-25.60027777777778,-54.485
SBFL,7529.527559055117,-27.67027777777778,-48.552499999999995
SBFN,6053.149606299212,-3.854722222222222,-32.42833333333333
SBFZ,8349.737532808398,-3.7758333333333334,-38.532222222222224
SBGL,13123.359580052493,-22.810000000000002,-43.25055555555556
SBGM,5889.107611548556,-10.788333333333334,-65.28166666666667
SBGO,8202.099737532808,-16.6325,-49.221111111111114
SBGR,12139.107611548556,-23.435555555555556,-46.473055555555554
SSGG,5314.960629921259,-25.388055555555557,-51.52166666666667
SBGV,5580.708661417322,-18.896944444444443,-41.986111111111114
SBGW,5088.582677165354,-22.791666666666668,-45.20444444444445
SBHT,6571.522309711286,-3.2508333333333335,-52.25222222222222
SBIC,4970.472440944882,-3.126388888888889,-58.48166666666667
SBIH,5265.748031496063,-4.242222222222222,-56.00083333333333
SBIL,5173.884514435696,-14.815000000000001,-39.03333333333333
SBIP,6578.083989501312,-19.470555555555553,-42.488055555555555
SBIZ,5898.950131233595,-5.530555555555556,-47.458333333333336
SBJC,3628.6089238845143,-1.4149999999999998,-48.45888888888889
SBJD,4593.175853018372,-23.18166666666667,-46.94361111111111
SBJF,5036.089238845144,-21.793055555555558,-43.385555555555555
SBJI,5905.511811023622,-10.870555555555557,-61.84666666666667
SBJP,8251.312335958004,-7.148333333333333,-34.95027777777778
SBJR,2952.755905511811,-22.9875,-43.37
SBJU,5905.511811023622,-7.219166666666667,-39.269444444444446
SBJV,5380.577427821522,-26.223055555555554,-48.797777777777775
SBKG,5249.343832020997,-7.269166666666667,-35.894999999999996
SBKP,10629.921259842518,-23.006944444444443,-47.13444444444444
SBLE,6830.708661417322,-12.482222222222223,-41.276944444444446
SBLJ,5026.2467191601045,-27.78222222222222,-50.281666666666666
SBLO,6889.763779527559,-23.330277777777777,-51.13666666666666
SBLP,3973.097112860892,-13.261388888888888,-43.4075
SBMA,6561.679790026246,-5.368055555555555,-49.13805555555555
SBMD,5905.511811023622,-0.8897222222222222,-52.602222222222224
SBME,3937.007874015748,-22.342777777777776,-41.763888888888886
SBMG,6889.763779527559,-23.479444444444443,-52.01222222222222
SBMK,6889.763779527559,-16.70611111111111,-43.82194444444445
SBML,5577.427821522309,-22.195555555555554,-49.926944444444445
SBMO,8536.745406824146,-9.517222222222223,-35.78361111111111
SBMQ,5905.511811023622,0.050833333333333335,-51.07027777777778
SBMS,6561.679790026246,-5.195833333333334,-37.361666666666665
SBMT,5249.343832020997,-23.506666666666668,-46.63388888888889
SBMY,4150.262467191601,-5.816944444444444,-61.28388888888889
SBNF,5580.708661417322,-26.878611111111113,-48.65083333333333
SBNM,5331.364829396325,-28.281666666666666,-54.16833333333333
SBOI,3937.007874015748,3.861388888888889,-51.79611111111111
SBPA,7480.314960629921,-29.99388888888889,-51.17111111111111
SBPB,8202.099737532808,-2.8938888888888887,-41.73027777777778
SBPC,4970.472440944882,-21.837777777777777,-46.566111111111105
SBPF,5577.427821522309,-28.24527777777778,-52.328611111111115
SBPJ,8202.099737532808,-10.29,-48.35777777777778
SBPK,6496.062992125984,-31.71611111111111,-52.33111111111111
SBPL,10662.72965879265,-9.3675,-40.56361111111111
SDPE,5577.427821522309,-10.716944444444444,-48.400277777777774
SBPP,6561.679790026246,-22.549722222222226,-55.7025
SBPR,2847.769028871391,-19.909166666666664,-43.98916666666667
SBPS,6561.679790026246,-16.438055555555557,-39.07777777777778
SBPV,7874.015748031496,-8.71361111111111,-63.90277777777778
SBQV,5823.490813648294,-14.86361111111111,-40.863055555555555
SBRB,7080.05249343832,-9.868333333333334,-67.89805555555556
SBRD,6069.553805774278,-16.588055555555556,-54.72166666666667
SBRF,9865.485564304461,-8.12638888888889,-34.922777777777775
SBRJ,4340.551181102362,-22.91,-43.1625
SBRP,6889.763779527559,-21.136388888888888,-47.776666666666664
SBSG,9842.51968503937,-5.768888888888889,-35.36638888888889
SBSJ,8779.527559055117,-23.228888888888886,-45.87111111111111
SBSL,7824.803149606299,-2.5869444444444447,-44.236111111111114
SBSM,8858.267716535433,-29.710833333333333,-53.69222222222222
SBSN,7874.015748031496,-2.424722222222222,-54.78583333333333
SBSP,6364.829396325459,-23.62611111111111,-46.656388888888884
SBSR,5380.577427821522,-20.816111111111113,-49.40472222222222
SBSV,9852.36220472441,-12.908611111111112,-38.322500000000005
SBTB,5249.343832020997,-1.4844444444444445,-56.399166666666666
SBTD,5479.002624671915,-24.685277777777777,-53.69638888888888
SBTE,7217.847769028871,-5.060555555555555,-42.824444444444445
SBTF,7217.847769028871,-3.3802777777777777,-64.72527777777778
SBTG,6561.679790026246,-20.75138888888889,-51.680277777777775
SBTK,3707.349081364829,-8.154722222222222,-70.78277777777778
SSTE,4921.259842519685,-29.41,-49.81027777777778
SBTT,7053.805774278215,-4.250555555555556,-69.93777777777778
SBTU,6561.679790026246,-3.776944444444444,-49.719722222222224
SBUA,8530.18372703412,-0.14805555555555555,-66.98583333333333
SBUF,5905.511811023622,-9.401111111111112,-38.25111111111111
SBUG,4921.259842519685,-29.783333333333335,-57.036944444444444
SBUL,6889.763779527559,-18.88361111111111,-48.22527777777778
SBUR,5770.997375328084,-19.764722222222222,-47.96611111111111
SBVG,4921.259842519685,-21.58888888888889,-45.473333333333336
SBVH,8530.18372703412,-12.694166666666668,-60.09722222222222
SBVT,6751.968503937008,-20.258055555555554,-40.28638888888889
SBZM,8284.120734908136,-21.513055555555557,-43.17305555555555
SDAA,3772.9658792650916,-22.336944444444445,-47.358333333333334
SDAD,3772.9658792650916,-21.69611111111111,-51.09638888888889
SDAG,2995.4068241469813,-22.975277777777777,-44.30722222222222
SDAI,3608.9238845144355,-22.755277777777778,-47.268055555555556
SDAM,3937.007874015748,-22.859166666666667,-47.10805555555556
SDBB,4921.259842519685,-20.900277777777777,-48.47361111111111
SDBK,4921.259842519685,-22.936666666666667,-48.4675
SDCA,3526.9028871391074,-24.033611111111114,-48.356944444444444
SDCG,3937.007874015748,-3.470555555555556,-68.92416666666666
SDCO,4855.643044619423,-23.483055555555556,-47.48638888888889
SDDN,4921.259842519685,-20.925833333333333,-51.38388888888889
SDDR,4921.259842519685,-21.460555555555555,-51.606944444444444
SDEP,3313.648293963254,-21.775555555555556,-52.16305555555555
SDFD,3280.839895013123,-20.276666666666667,-50.21388888888889
SDFX,3608.9238845144355,-9.1575,-40.9375
SDIG,3937.007874015748,-21.747222222222224,-48.85583333333334
SDIM,4429.133858267716,-24.16472222222222,-46.785555555555554
SDIV,3280.839895013123,-20.37527777777778,-47.76861111111111
SDJV,4101.049868766404,-22.016666666666666,-46.84055555555556
SDKF,4265.09186351706,-9.155277777777778,-40.09166666666667
SDKJ,4330.708661417322,-11.021111111111113,-45.18722222222222
SDLK,3937.007874015748,-14.481111111111112,-42.264722222222225
SDLL,3772.9658792650916,-22.22694444444444,-47.382222222222225
SDLP,4146.981627296588,-22.578333333333333,-48.77444444444444
SBMI,3641.7322834645665,-22.918055555555558,-42.82888888888889
SDNO,3280.839895013123,-22.69611111111111,-48.57611111111112
SDOU,4921.259842519685,-22.973611111111108,-49.91138888888889
SDOV,4921.259842519685,-14.74472222222222,-50.57055555555556
SDOW,3937.007874015748,-6.762222222222222,-51.05
SDPN,4921.259842519685,-21.410277777777775,-50.03194444444444
SDPW,3937.007874015748,-22.710555555555555,-47.61944444444445
SDRR,4855.643044619423,-23.093055555555555,-48.98416666666667
SDRS,4265.09186351706,-22.47861111111111,-44.48166666666667
SDSC,5314.960629921259,-21.87638888888889,-47.90333333333333
SBSO,5577.427821522309,-12.472777777777777,-55.66888888888889
SDTK,2296.587926509186,-23.224444444444444,-44.72027777777778
SDTP,4921.259842519685,-21.89,-50.505833333333335
SDUB,3083.989501312336,-23.441388888888888,-45.07611111111112
SDVG,4921.259842519685,-20.45722222222222,-50.0025
SDWQ,3280.839895013123,-1.9169444444444443,-54.72277777777778
SDXF,3543.307086614173,-14.119166666666667,-47.530277777777776
SDXJ,3805.7742782152227,-18.49138888888889,-53.16833333333333
SDZG,3937.007874015748,-5.933333333333334,-40.2975
SIBU,2624.6719160104985,-6.3625,-37.75527777777778
SIBY,3280.839895013123,-7.878333333333334,-37.13666666666666
SIBZ,3280.839895013123,-7.311111111111111,-38.11361111111111
SILC,3280.839895013123,-13.037222222222223,-55.94222222222222
SIMK,6561.679790026246,-20.590277777777775,-47.3825
SJAU,4593.175853018372,-8.837777777777779,-49.55777777777777
SJBY,4921.259842519685,-3.653888888888889,-45.345
SBJA,8198.818897637795,-28.67527777777778,-49.06027777777778
SJOG,4284.776902887139,-9.884722222222221,-63.04888888888889
SJQN,4921.259842519685,-18.44611111111111,-50.409166666666664
SJRG,4921.259842519685,-32.08166666666667,-52.163333333333334
SJVO,3313.648293963254,-15.899166666666666,-52.24527777777778
SJZA,5249.343832020997,-6.882777777777778,-38.615833333333335
SNAB,4091.2073490813646,-7.586388888888888,-40.53527777777778
SNAE,4265.09186351706,-8.407777777777778,-37.08833333333334
SNAG,4921.259842519685,-18.668055555555558,-48.19027777777777
SNAL,3051.1811023622045,-9.77638888888889,-36.63055555555555
SNAM,5314.960629921259,-20.911388888888887,-44.894444444444446
SNAP,4921.259842519685,-15.733055555555556,-43.323888888888895
SNAR,4593.175853018372,-16.183888888888887,-40.66722222222222
SNAS,4921.259842519685,-18.224999999999998,-45.190555555555555
SBAC,5905.511811023622,-4.568611111111111,-37.80472222222222
SNAX,5541.3385826771655,-22.64,-50.45305555555556
SNBA,5905.511811023622,-20.585555555555555,-48.59583333333334
SNBG,3937.007874015748,-19.49888888888889,-41.04194444444444
SNBI,5249.343832020997,-4.228055555555556,-44.819722222222225
SNBM,3740.1574803149606,-21.128888888888888,-42.36694444444444
SNBR,5249.343832020997,-12.079166666666666,-45.00944444444445
SNBS,3280.839895013123,-7.525277777777777,-46.05333333333333
SNBX,4265.09186351706,-11.081111111111111,-43.1475
SNBZ,3937.007874015748,-13.490555555555554,-42.22916666666667
SNCA,4658.7926509186345,-20.8925,-45.33555555555556
SNCS,3937.007874015748,-7.049444444444444,-40.36416666666667
SNCT,3543.307086614173,-19.725277777777777,-42.111111111111114
SNCX,4265.09186351706,-19.484444444444446,-40.58444444444444
SNCZ,3477.6902887139104,-20.403055555555554,-42.916666666666664
SNDC,3149.606299212598,-8.031111111111112,-49.97972222222222
SNDT,5282.152230971128,-18.23222222222222,-43.650277777777774
SNDV,5052.49343832021,-20.181944444444447,-44.87
SNDW,3937.007874015748,-15.519444444444446,-40.8725
SNEB,4757.217847769029,-3.019722222222222,-47.31638888888889
SNED,4396.325459317585,-15.66638888888889,-38.95527777777778
SNEE,6627.296587926508,-28.431944444444447,-51.022777777777776
SNEU,3937.007874015748,-10.527500000000002,-39.0325
SNFE,5249.343832020997,-21.43166666666667,-45.933055555555555
SNFU,3280.839895013123,-20.004722222222224,-48.95888888888889
SNFX,5249.343832020997,-6.6402777777777775,-51.99
SNGA,3083.989501312336,-20.64638888888889,-40.49166666666667
SNGG,3937.007874015748,-9.059444444444445,-44.369166666666665
SNGI,5577.427821522309,-14.208055555555555,-42.74611111111111
SNGN,4114.173228346456,-8.834444444444445,-36.47138888888889
SNGT,4265.09186351706,-11.441666666666666,-42.51888888888889
SNHS,5226.377952755905,-8.061388888888889,-38.328611111111115
SNIB,3608.9238845144355,-12.499722222222221,-40.27027777777778
SNIC,4593.175853018372,-11.34,-41.846944444444446
SNIE,4478.346456692913,-14.012222222222222,-42.49388888888889
SNIG,4625.9842519685035,-6.347777777777777,-39.29861111111111
SNIO,5314.960629921259,-11.125277777777779,-38.48694444444445
SNIP,3477.6902887139104,-15.244444444444444,-40.27722222222222
SNIT,3608.9238845144355,-12.164444444444445,-43.22555555555556
SNIU,4265.09186351706,-14.173333333333332,-39.68416666666666
SNJB,2952.755905511811,-11.163055555555555,-40.55333333333333
SDIY,4921.259842519685,-12.200555555555555,-38.906388888888884
SNJK,3937.007874015748,-13.877777777777778,-40.07138888888889
SNJM,3838.582677165354,-20.259722222222223,-42.18388888888889
SNJN,3937.007874015748,-15.474722222222223,-44.38638888888889
SNJP,4265.09186351706,-17.7875,-46.12
SNJQ,3707.349081364829,-16.47222222222222,-41.025
SNJR,4593.175853018372,-21.085555555555555,-44.22527777777778
SNKF,2959.317585301837,-20.738611111111112,-43.79805555555556
SNKI,3937.007874015748,-20.835277777777776,-41.186388888888885
SNKK,3215.2230971128606,-6.439166666666667,-37.07805555555556
SNKS,2624.6719160104985,-10.989166666666666,-44.515277777777776
SNLI,3937.007874015748,-19.15722222222222,-45.49583333333334
SNLN,4429.133858267716,-19.35527777777778,-40.06944444444445
SNLO,4265.09186351706,-22.091666666666665,-45.04527777777778
SNMA,4675.1968503937005,-1.9966666666666668,-54.07138888888889
SNMC,4324.146981627297,-13.025,-42.67222222222222
SNMH,4248.687664041994,-15.848055555555556,-48.98027777777778
SNMJ,4265.09186351706,-13.386111111111111,-40.46611111111111
SNMK,4986.876640419947,-15.093333333333334,-43.97944444444445
SNMN,2624.6719160104985,-17.233888888888888,-42.58388888888889
SNMX,4429.133858267716,-18.72138888888889,-39.83361111111111
SNMZ,4166.666666666666,-1.7413888888888889,-52.23583333333333
SNNU,4002.6246719160104,-17.823055555555555,-40.32972222222222
SNOB,3389.107611548556,-3.6783333333333332,-40.33694444444445
SNOS,4921.259842519685,-20.733333333333334,-46.65972222222222
SNOU,3937.007874015748,-8.140833333333333,-70.34722222222221
SNOX,5249.343832020997,-1.713611111111111,-55.83583333333333
SNPA,3740.1574803149606,-19.842499999999998,-44.600833333333334
SNPC,3937.007874015748,-7.065277777777777,-41.519444444444446
SNPD,5577.427821522309,-18.672222222222224,-46.49138888888889
SNPJ,3937.007874015748,-18.909166666666664,-46.98277777777778
SBCZ,7874.015748031496,-7.599444444444444,-72.76944444444445
SNQD,3526.9028871391074,-6.785555555555556,-38.23388888888889
SNQG,5905.511811023622,-6.845833333333333,-43.0775
SNQU,4265.09186351706,-13.031666666666668,-41.44444444444444
SNQV,3937.007874015748,-18.749444444444446,-44.45805555555556
SNRD,3546.587926509186,-17.296944444444446,-39.27194444444444
SNRM,4429.133858267716,-9.58,-42.115833333333335
SNRU,5905.511811023622,-8.284444444444444,-36.01083333333333
SNRZ,3871.3910761154852,-20.714444444444442,-44.86527777777778
SNSG,4265.09186351706,-8.046666666666667,-39.13388888888889
SNSO,3018.3727034120734,-18.611111111111114,-43.42388888888889
SNSS,4855.643044619423,-16.208333333333332,-42.32194444444445
SNST,3937.007874015748,-12.097222222222223,-41.64055555555556
SNTF,4790.02624671916,-17.524444444444445,-39.66833333333333
SNTI,4986.876640419947,-1.8680555555555556,-55.51444444444444
SNTO,3904.1994750656168,-17.890833333333333,-41.515
SNTR,4025.590551181102,-11.738055555555555,-40.569722222222225
SNTS,5249.343832020997,-7.0377777777777775,-37.2575
SNUB,3543.307086614173,-21.1225,-42.882222222222225
SNUC,4921.259842519685,-5.595,-36.96083333333333
SNUI,3937.007874015748,-16.851944444444445,-42.04611111111111
SNUT,4658.7926509186345,-12.105555555555556,-41.074444444444445
SNVB,5905.511811023622,-13.296388888888888,-38.9925
SNVC,2952.755905511811,-20.744722222222222,-42.841944444444444
SNVD,3937.007874015748,-13.404722222222222,-44.223055555555554
SNVS,5249.343832020997,-1.636388888888889,-50.44333333333333
SNWC,3937.007874015748,-2.8966666666666665,-40.856944444444444
SNWS,4921.259842519685,-5.211111111111111,-40.70416666666667
SNXB,4921.259842519685,-21.9175,-44.96944444444445
SNXQ,4658.7926509186345,-10.834166666666667,-42.68333333333333
SNYB,3937.007874015748,-19.001944444444444,-49.48722222222222
SNYE,5708.6614173228345,-2.483611111111111,-45.06722222222223
SNYT,4921.259842519685,-13.82861111111111,-41.30222222222222
SNYU,5085.301837270341,-19.717777777777776,-50.2175
SNZA,4002.6246719160104,-22.28888888888889,-45.919444444444444
SNZR,4921.259842519685,-17.243055555555557,-46.88138888888889
SSAB,3937.007874015748,-23.763055555555557,-50.264722222222225
SSAN,3280.839895013123,-23.026944444444442,-50.22833333333333
SSAP,4593.175853018372,-23.612222222222222,-51.385
SSBE,3937.007874015748,-19.597777777777775,-54.01916666666666
SSBL,3543.307086614173,-26.83277777777778,-49.093611111111116
SSBN,3280.839895013123,-30.18777777777778,-51.18277777777777
SSCD,6561.679790026246,-18.839166666666664,-52.488055555555555
SSCI,4265.09186351706,-18.481388888888887,-54.715833333333336
SSCK,4855.643044619423,-27.180555555555557,-52.051111111111105
SSCN,4133.858267716535,-29.370555555555555,-50.83222222222223
SSCP,4593.175853018372,-23.152777777777775,-50.60277777777778
SSCR,4593.175853018372,-24.512777777777778,-54.053888888888885
SSCT,3937.007874015748,-23.691666666666666,-52.64222222222222
SSER,4199.475065616798,-27.66,-52.27611111111111
SSFB,4396.325459317585,-26.05888888888889,-53.06333333333333
SSFL,4921.259842519685,-7.1,-40.62833333333333
SSGA,3937.007874015748,-29.26833333333333,-51.532222222222224
